"purity","vmeasure","batch_number"
1,1,1
1,1,2
1,1,3
1,1,4
1,1,5
1,1,6
1,1,7
1,1,8
1,1,9
1,1,10
1,1,11
1,1,12
1,1,13
1,1,14
1,1,15
1,1,16
1,1,17
1,1,18
1,1,19
1,1,20
1,1,21
1,1,22
1,1,23
1,1,24
1,1,25
1,1,26
1,1,27
1,1,28
1,1,29
1,1,30
1,1,31
1,1,32
1,1,33
1,1,34
1,1,35
1,1,36
1,1,37
1,1,38
1,1,39
1,1,40
1,1,41
1,1,42
1,1,43
1,1,44
1,1,45
1,1,46
1,1,47
1,1,48
1,1,49
1,1,50
1,1,51
1,1,52
1,1,53
1,1,54
1,1,55
1,1,56
1,1,57
1,1,58
1,1,59
1,1,60
1,1,61
1,1,62
1,1,63
1,1,64
1,1,65
1,1,66
1,1,67
1,1,68
1,1,69
1,1,70
1,1,71
1,1,72
1,1,73
1,1,74
1,1,75
1,1,76
1,1,77
1,1,78
1,1,79
1,1,80
1,1,81
1,1,82
1,1,83
1,1,84
1,1,85
1,1,86
1,1,87
1,1,88
1,1,89
1,1,90
1,1,91
1,1,92
1,1,93
1,1,94
1,1,95
1,1,96
0.76,0.367799605297657,97
0.725,0.299545744696082,98
0.86,0.529423722346444,99
0.815,0.443801616471838,100
0.81,0.439632710135319,101
0.78,0.376977385850778,102
0.72,0.307356844528581,103
0.74,0.314208279090701,104
0.71,0.29417030455351,105
0.64,0.197588147964241,106
0.615,0.134678040180558,107
0.73,0.299224136500587,108
0.725,0.294503708971963,109
0.79,0.411161805603204,110
0.79,0.412838660499444,111
0.785,0.397919391427193,112
0.815,0.450673697918473,113
0.8,0.423082258347728,114
0.815,0.439872973500624,115
0.905,0.629994373248187,116
0.935,0.71293046749968,117
0.92,0.671518786982025,118
0.88,0.571956498388282,119
0.845,0.494602250167626,120
0.865,0.53818573646485,121
0.805,0.432295183369353,122
0.73,0.322445532787891,123
0.73,0.320793609677506,124
0.81,0.432498549400916,125
0.96,0.795735744710377,126
0.645,0.235509777704647,127
0.935,0.713771343052112,128
0.89,0.596066068420895,129
0.845,0.50649318428565,130
0.84,0.482258188964714,131
0.755,0.350997964816476,132
0.715,0.311688129021957,133
0.69,0.256290098658982,134
0.74,0.325514265151804,135
0.805,0.425284949102765,136
0.9,0.618539452288872,137
0.885,0.578926747486644,138
0.82,0.457595104760559,139
0.86,0.524961587251915,140
0.855,0.52207524479369,141
0.855,0.52207524479369,142
0.815,0.446083186118773,143
0.845,0.503405571806126,144
0.77,0.379987180776751,145
0.735,0.316204347534116,146
0.71,0.290139262270534,147
0.785,0.376852580448176,148
0.705,0.297947654902484,149
0.745,0.344382916950426,150
