"purity","vmeasure","batch_number"
1,1,1
1,1,2
1,1,3
1,1,4
1,1,5
1,1,6
1,1,7
1,1,8
1,1,9
1,1,10
1,1,11
1,1,12
1,1,13
1,1,14
1,1,15
1,1,16
0.995,0.959565905698885,17
1,1,18
1,1,19
1,1,20
1,1,21
1,1,22
1,1,23
1,1,24
1,1,25
1,1,26
1,1,27
1,1,28
1,1,29
1,1,30
1,1,31
1,1,32
1,1,33
1,1,34
1,1,35
1,1,36
1,1,37
1,1,38
1,1,39
1,1,40
1,1,41
1,1,42
1,1,43
1,1,44
1,1,45
1,1,46
1,1,47
1,1,48
0.995,0.959565905698885,49
0.5,0,50
0.5,0,51
0.5,0,52
1,1,53
1,1,54
1,1,55
1,1,56
1,1,57
1,1,58
1,1,59
1,1,60
1,1,61
0.98,0.878206370275628,62
0.995,0.959565905698885,63
1,1,64
1,1,65
0.995,0.959565905698885,66
1,1,67
0.99,0.929125223854907,68
0.995,0.959565905698885,69
0.995,0.959565905698885,70
1,1,71
1,1,72
1,1,73
0.995,0.959565905698885,74
1,1,75
1,1,76
1,1,77
1,1,78
1,1,79
1,1,80
1,1,81
0.995,0.959565905698885,82
0.995,0.959565905698885,83
1,1,84
0.995,0.959565905698885,85
0.995,0.959565905698885,86
0.98,0.878206370275628,87
0.995,0.959565905698885,88
0.995,0.959565905698885,89
0.985,0.902447745155178,90
0.99,0.929125223854907,91
0.99,0.929125223854907,92
1,1,93
0.99,0.929125223854907,94
0.98,0.878206370275628,95
1,1,96
0.995,0.959565905698885,97
0.995,0.959565905698885,98
0.985,0.902447745155178,99
1,1,100
1,1,101
0.955,0.778190793392485,102
0.995,0.959565905698885,103
0.96,0.796128522054909,104
0.96,0.796128522054909,105
0.935,0.713416443766108,106
0.945,0.744551951100913,107
0.95,0.76102607164173,108
0.92,0.670516855707196,109
0.955,0.778190793392485,110
0.98,0.878206370275628,111
0.94,0.728700879801575,112
0.96,0.796128522054909,113
0.96,0.796128522054909,114
0.945,0.744551951100913,115
0.96,0.796128522054909,116
0.975,0.855769356199853,117
0.975,0.855769356199853,118
0.96,0.796128522054909,119
0.96,0.796128522054909,120
0.96,0.796128522054909,121
0.975,0.855769356199853,122
0.965,0.814942106294828,123
0.915,0.657081523142653,124
0.965,0.814942106294828,125
0.96,0.796128522054909,126
0.98,0.878206370275628,127
0.945,0.744551951100913,128
0.93,0.698650799163015,129
0.945,0.744551951100913,130
0.94,0.728700879801575,131
0.91,0.644029137310231,132
0.94,0.728700879801575,133
0.915,0.657081523142653,134
0.935,0.713416443766108,135
0.93,0.698650799163015,136
0.89,0.595191298235979,137
0.93,0.698650799163015,138
0.945,0.744551951100913,139
0.905,0.631335011527646,140
0.92,0.670516855707196,141
0.925,0.68436284009563,142
0.95,0.76102607164173,143
0.94,0.728700879801575,144
0.9,0.618977004017456,145
0.915,0.657081523142653,146
0.875,0.561589636563919,147
0.89,0.595191298235979,148
0.86,0.530151068196331,149
0.895,0.606935138761001,150
