"purity","vmeasure","batch_number"
1,1,1
1,1,2
1,1,3
1,1,4
1,1,5
1,1,6
1,1,7
1,1,8
1,1,9
1,1,10
1,1,11
1,1,12
1,1,13
1,1,14
1,1,15
1,1,16
1,1,17
1,1,18
1,1,19
1,1,20
1,1,21
1,1,22
1,1,23
1,1,24
1,1,25
1,1,26
1,1,27
1,1,28
1,1,29
1,1,30
1,1,31
1,1,32
1,1,33
1,1,34
1,1,35
1,1,36
1,1,37
1,1,38
1,1,39
1,1,40
1,1,41
1,1,42
1,1,43
1,1,44
1,1,45
1,1,46
1,1,47
1,1,48
1,1,49
1,1,50
1,1,51
1,1,52
1,1,53
1,1,54
1,1,55
1,1,56
1,1,57
1,1,58
1,1,59
1,1,60
1,1,61
1,1,62
1,1,63
1,1,64
1,1,65
1,1,66
1,1,67
1,1,68
1,1,69
1,1,70
1,1,71
1,1,72
1,1,73
1,1,74
1,1,75
1,1,76
1,1,77
1,1,78
1,1,79
1,1,80
1,1,81
1,1,82
1,1,83
1,1,84
1,1,85
1,1,86
1,1,87
1,1,88
1,1,89
1,1,90
1,1,91
1,1,92
1,1,93
1,1,94
1,1,95
1,1,96
1,1,97
0.999324324324324,0.995558785751273,98
0.999328859060403,0.995583708825584,99
0.999333333333333,0.995608071851921,100
1,1,101
0.999342105263158,0.99565798896455,102
0.999346405228758,0.995681781864479,103
1,1,104
1,1,105
1,1,106
1,1,107
0.999367088607595,0.995798937481031,108
0.99937106918239,0.99582374962263,109
0.99875,0.992480441997486,110
0.998757763975155,0.99252100123131,111
0.998765432098765,0.992562398944871,112
0.998159509202454,0.988522398677196,113
0.998170731707317,0.988583088480757,114
0.998181818181818,0.988643768204627,115
0.998192771084337,0.988702411018358,116
0.998203592814371,0.988759699857182,117
0.998214285714286,0.988812307938433,118
0.998224852071006,0.988869089207995,119
0.998235294117647,0.988926632787948,120
0.998245614035088,0.988982848021735,121
0.998255813953488,0.989038465770764,122
0.999421965317919,0.996137618746717,123
0.999425287356322,0.996156613358853,124
0.999428571428571,0.99617552627205,125
0.998295454545455,0.989250667386857,126
0.998305084745763,0.989302178416342,127
0.999438202247191,0.996230810472883,128
0.999441340782123,0.996249204331038,129
0.998333333333333,0.989458975481173,130
0.999447513812155,0.9962841039211,131
0.999450549450549,0.99630235387675,132
0.999453551912568,0.996302730351213,133
0.99945652173913,0.996322484242796,134
0.999459459459459,0.996340579329421,135
0.999462365591398,0.996357480023337,136
0.999465240641711,0.996374685892773,137
0.999468085106383,0.996391671608336,138
0.998941798941799,0.993483153334713,139
0.999473684210526,0.996436422741492,140
0.998952879581152,0.993542460026943,141
0.999479166666667,0.996468385807539,142
0.999481865284974,0.996484683668049,143
0.998969072164948,0.993626403663567,144
0.998974358974359,0.993654185187243,145
0.998979591836735,0.993681577460168,146
0.999492385786802,0.996545407933033,147
0.99949494949495,0.996560389667301,148
0.999497487437186,0.99657554506068,149
0.999,0.993791198545726,150
0.999004975124378,0.993817291414689,151
0.999009900990099,0.993842528612964,152
0.999014778325123,0.993868314031232,153
0.999019607843137,0.993894585708057,154
0.999024390243902,0.993919884696233,155
0.999514563106796,0.996675488134444,156
0.999033816425121,0.993971915486263,157
0.999038461538462,0.993996510258882,158
0.999521531100478,0.996715767856993,159
0.999047619047619,0.994045697340075,160
0.999052132701422,0.994069659222173,161
0.999056603773585,0.994094743707963,162
0.99906103286385,0.994118926974906,163
0.999065420560748,0.994141573210158,164
0.99906976744186,0.994165318870467,165
0.999074074074074,0.994188905461904,166
0.999078341013825,0.994209699434775,167
0.999082568807339,0.994232908098537,168
0.998630136986301,0.991102627770854,169
0.998181818181818,0.988779559618459,170
0.998642533936652,0.991173617397366,171
0.999099099099099,0.994324149671235,172
0.999103139013453,0.994345819335511,173
0.999107142857143,0.994368480825693,174
0.999111111111111,0.994389154213218,175
0.998230088495575,0.989035478988683,176
0.998237885462555,0.989076831307852,177
0.998245614035088,0.989117830165342,178
0.998689956331878,0.991440326721715,179
0.999130434782609,0.994493497411243,180
0.998268398268398,0.989236964473971,181
0.999568965517241,0.996998267512344,182
0.999141630901288,0.994553290713342,183
0.998717948717949,0.992335258337744,184
0.998723404255319,0.992364291835733,185
0.998728813559322,0.992395342197854,186
0.99915611814346,0.994636261866339,187
0.998739495798319,0.992449134196761,188
0.998326359832636,0.98955176461759,189
0.99875,0.992502821465571,190
0.999585062240664,0.997095671215327,191
0.998347107438017,0.989663638264554,192
0.998353909465021,0.989701801896059,193
0.998360655737705,0.989737807708754,194
0.998367346938775,0.989773756682862,195
0.998373983739837,0.989809903902752,196
0.998380566801619,0.98984420487624,197
0.998387096774194,0.989879593034856,198
0.998393574297189,0.989914944352167,199
0.9988,0.992764607834861,200
0.999601593625498,0.997196593893052,201
0.999603174603175,0.997206212748132,202
0.999604743083004,0.99721597816677,203
0.999606299212598,0.997225668532798,204
0.998823529411765,0.9928835767186,205
0.9984375,0.990152390176548,206
0.998832684824903,0.99292765418502,207
0.998837209302326,0.992950791811251,208
0.998841698841699,0.992973020573189,209
0.998461538461539,0.990284351517866,210
0.998850574712644,0.993019586387612,211
0.998473282442748,0.990348883469468,212
0.998859315589354,0.993062939909251,213
0.998863636363636,0.993085074867285,214
0.998867924528302,0.993120450375734,215
0.998872180451128,0.993131274214229,216
0.998876404494382,0.993152945197446,217
0.998880597014925,0.993175688755563,218
0.998884758364312,0.99319825887009,219
0.998888888888889,0.993219594782333,220
0.998892988929889,0.993241312245823,221
0.998897058823529,0.993262204688007,222
0.998901098901099,0.993281466105475,223
0.998905109489051,0.993302719908784,224
0.998909090909091,0.993323828109825,225
0.998913043478261,0.993343175790337,226
0.998916967509025,0.993364537657045,227
0.998920863309352,0.993384714106771,228
0.998924731182796,0.993405783225216,229
0.998928571428571,0.993424078841604,230
0.998932384341637,0.993443313612076,231
0.998936170212766,0.993463999211274,232
0.998939929328622,0.993482987185394,233
0.998943661971831,0.993503443758488,234
0.998947368421053,0.993522726447912,235
0.998951048951049,0.993541420768763,236
0.998954703832753,0.993560955328485,237
0.998958333333333,0.993579373892058,238
0.998961937716263,0.993598194055445,239
0.998965517241379,0.993616848299486,240
0.998969072164948,0.993635385652991,241
0.998972602739726,0.993654362470274,242
0.998976109215017,0.993672688403656,243
0.998979591836735,0.993698007539138,244
0.998983050847458,0.993708484010212,245
0.998986486486486,0.993726414273701,246
0.998989898989899,0.993744775826411,247
0.998993288590604,0.993762550956501,248
0.998996655518395,0.993780685811616,249
0.999,0.993798220143975,250
0.999003322259136,0.99381754573592,251
0.999006622516556,0.993834882877275,252
0.999009900990099,0.99385254064396,253
0.999013157894737,0.993869669568155,254
0.999016393442623,0.993886673981133,255
0.998692810457516,0.992214307580153,256
0.998697068403909,0.992234363940269,257
0.998376623376623,0.990649175788122,258
0.999029126213592,0.993951865645124,259
0.999032258064516,0.99396840963924,260
0.99903536977492,0.993985316745646,261
0.999038461538462,0.994001638387626,262
0.998722044728435,0.992360193536919,263
0.998726114649682,0.992379988696687,264
0.998730158730159,0.992400904512647,265
0.99873417721519,0.992422193456628,266
0.998738170347003,0.992443437649753,267
0.99874213836478,0.992463442335419,268
0.998746081504702,0.992483861205313,269
0.9990625,0.994132631509694,270
0.999065420560748,0.994147257915877,271
0.999068322981366,0.994162687310267,272
0.999071207430341,0.994178870505967,273
0.999074074074074,0.994193315037727,274
0.999076923076923,0.994210077715016,275
0.999079754601227,0.994225934483471,276
0.999082568807339,0.994241236355714,277
0.999085365853659,0.994257267223147,278
0.999088145896657,0.994271722855045,279
0.999090909090909,0.994285703080641,280
0.999093655589124,0.994299573316715,281
0.998795180722892,0.992735332781557,282
0.998798798798799,0.992753117805158,283
0.998502994011976,0.991268313470183,284
0.998208955223881,0.989845392824357,285
0.998214285714286,0.989871153924055,286
0.997922848664688,0.988506983406645,287
0.99792899408284,0.98853762625716,288
0.997935103244838,0.988565646890029,289
0.999705882352941,0.997849686483165,290
0.997947214076246,0.9886237757935,291
0.997953216374269,0.988650564866211,292
0.997959183673469,0.988676427211648,293
0.999709302325581,0.997871013941813,294
0.997971014492754,0.988729281222533,295
0.997976878612717,0.988757889978429,296
0.997982708933718,0.988784704688489,297
0.999712643678161,0.997892896430574,298
0.998567335243553,0.990937592826816,299
0.999714285714286,0.997903490084668,300
0.9997150997151,0.997908575623422,301
0.999715909090909,0.997913634056337,302
0.99971671388102,0.997919219163538,303
0.998022598870057,0.988972709139631,304
0.999718309859155,0.997929424794621,305
0.999719101123596,0.997934487025655,306
0.999719887955182,0.997939521444325,307
0.999720670391061,0.997944741413742,308
0.999721448467967,0.997949827062571,309
0.999722222222222,0.997954783656298,310
0.999722991689751,0.997959919164148,311
0.999723756906077,0.997964823436778,312
0.999724517906336,0.99797000548707,313
0.999725274725275,0.997975154737316,314
0.99972602739726,0.997979885456517,315
0.998087431693989,0.989279695328128,316
0.998365122615804,0.990604312350007,317
0.998097826086957,0.989332147658476,318
0.999728997289973,0.997999245174595,319
0.998378378378378,0.990667320991163,320
0.99811320754717,0.989401043272792,321
0.998118279569893,0.989424697865004,322
0.998123324396783,0.989450887939409,323
0.998128342245989,0.989474304333799,324
0.998133333333333,0.989497620063474,325
0.998404255319149,0.990793942424376,326
0.99840848806366,0.990813754986455,327
0.998412698412698,0.990835133128165,328
0.99868073878628,0.992161402202397,329
0.998684210526316,0.992179604676608,330
0.998687664041995,0.992197273090694,331
0.99869109947644,0.992215286234584,332
0.998694516971279,0.99223277648684,333
0.998697916666667,0.992250601265017,334
0.998701298701299,0.992267072490745,335
0.998704663212435,0.992284297614611,336
0.998708010335917,0.992300165390795,337
0.998711340206186,0.992316427010613,338
0.998714652956298,0.992334279948595,339
0.998717948717949,0.99235077087742,340
0.998721227621483,0.992366799551997,341
0.998724489795918,0.992384807938349,342
0.998727735368957,0.992400669288148,343
0.998730964467005,0.992417275746107,344
0.99873417721519,0.992433802546769,345
0.998737373737374,0.992449041439509,346
0.998740554156171,0.992465821895103,347
0.998743718592965,0.992482522702885,348
0.99874686716792,0.991914165127131,349
0.99875,0.991931732986363,350
0.998753117206983,0.991948983458251,351
0.998756218905473,0.991966417728527,352
0.998759305210918,0.991984140602227,353
0.998762376237624,0.992001518507224,354
0.998765432098765,0.992017978086115,355
0.998768472906404,0.992035092210702,356
0.998771498771499,0.992051765647913,357
0.998774509803922,0.992068614921666,358
0.998777506112469,0.992084997630943,359
0.998780487804878,0.992102162512721,360
0.998783454987834,0.992119242255894,361
0.99878640776699,0.992136026068168,362
0.998789346246973,0.992151772921077,363
0.998792270531401,0.992168170241693,364
0.998795180722892,0.992184491774123,365
0.998798076923077,0.992200926280674,366
0.998800959232614,0.992217644131224,367
0.998803827751196,0.992233849964654,368
0.998806682577566,0.992250114500224,369
0.998809523809524,0.992266072977144,370
0.998812351543943,0.992281478388441,371
0.998815165876777,0.992296612240338,372
0.998817966903073,0.992312003327404,373
0.998820754716981,0.99232788658026,374
0.998823529411765,0.992343697117204,375
0.998826291079812,0.992358940493702,376
0.998829039812646,0.992374435868752,377
0.998831775700935,0.99238986171009,378
0.998834498834499,0.99240553383308,379
0.998837209302326,0.992420627777241,380
0.998839907192575,0.992435697739382,381
0.998842592592593,0.992450948547709,382
0.998845265588915,0.992998378609476,383
0.998847926267281,0.99248090788745,384
0.998850574712644,0.992495440902778,385
0.998853211009174,0.992510565477675,386
0.998855835240275,0.992525368289385,387
0.998858447488584,0.992539667611396,388
0.999088838268793,0.993807262371883,389
0.999090909090909,0.993819512463727,390
0.998866213151927,0.992583700118729,391
0.999095022624434,0.993843404110369,392
0.999097065462754,0.993855573177089,393
0.999099099099099,0.993867837666737,394
0.998876404494382,0.992641458970613,395
0.999103139013453,0.993891909806019,396
0.998881431767338,0.992670081164171,397
0.998883928571429,0.992684205709036,398
0.998886414253898,0.993208218702039,399
0.998888888888889,0.993222599106099,400
0.998891352549889,0.992725227104225,401
0.999115044247788,0.993961683040108,402
0.999116997792495,0.993972792548432,403
0.999118942731278,0.993984566682461,404
0.999120879120879,0.993995865978296,405
0.99890350877193,0.99279407301113,406
0.999124726477024,0.994019308528686,407
0.999126637554585,0.994030747223963,408
0.999128540305011,0.994041729148954,409
0.998913043478261,0.992848132168928,410
0.998915401301518,0.992861664260449,411
0.998917748917749,0.992875141130846,412
0.998704103671706,0.99174009430982,413
0.998922413793103,0.992901735467895,414
0.998924731182796,0.992915118763549,415
0.998927038626609,0.992928315856699,416
0.998929336188437,0.992941131688229,417
0.998931623931624,0.992954607935099,418
0.998933901918977,0.992967395819534,419
0.998723404255319,0.99184564935484,420
0.998726114649682,0.99186031446952,421
0.998728813559322,0.991874788097365,422
0.998731501057082,0.991889658775126,423
0.99873417721519,0.991903896880203,424
0.998526315789474,0.990832067386079,425
0.998529411764706,0.990848690873475,426
0.99874213836478,0.991947733503852,427
0.998535564853556,0.990882363105755,428
0.998538622129436,0.990898227226046,429
0.998541666666667,0.990913855014128,430
0.998544698544699,0.990929416862057,431
0.998547717842324,0.99094572703648,432
0.998550724637681,0.990960856148077,433
0.998553719008265,0.990977659041267,434
0.998556701030928,0.990993848369179,435
0.998559670781893,0.991010142897959,436
0.998562628336756,0.991026566436599,437
0.998565573770492,0.991041846013378,438
0.998568507157464,0.991058078867889,439
0.998571428571429,0.991073891713638,440
0.99857433808554,0.991089994216783,441
0.998577235772358,0.991105968719982,442
0.998174442190669,0.989104208732132,443
0.997975708502024,0.988152149742724,444
0.998585858585859,0.991151992908155,445
0.998588709677419,0.991167848740579,446
0.998591549295775,0.99118391087201,447
0.998795180722892,0.992242129137354,448
0.998797595190381,0.992255924984476,449
0.9988,0.992268958788126,450
