"purity","vmeasure","batch_number"
1,1,1
1,1,2
1,1,3
1,1,4
1,1,5
1,1,6
1,1,7
1,1,8
1,1,9
1,1,10
1,1,11
1,1,12
1,1,13
1,1,14
1,1,15
1,1,16
1,1,17
1,1,18
1,1,19
1,1,20
1,1,21
1,1,22
1,1,23
1,1,24
1,1,25
1,1,26
1,1,27
1,1,28
1,1,29
1,1,30
1,1,31
1,1,32
1,1,33
1,1,34
1,1,35
1,1,36
1,1,37
1,1,38
1,1,39
1,1,40
1,1,41
1,1,42
1,1,43
1,1,44
1,1,45
1,1,46
1,1,47
1,1,48
1,1,49
1,1,50
1,1,51
1,1,52
1,1,53
1,1,54
1,1,55
1,1,56
1,1,57
1,1,58
1,1,59
1,1,60
1,1,61
1,1,62
1,1,63
1,1,64
1,1,65
1,1,66
1,1,67
1,1,68
1,1,69
1,1,70
1,1,71
1,1,72
1,1,73
1,1,74
1,1,75
1,1,76
1,1,77
1,1,78
1,1,79
1,1,80
1,1,81
1,1,82
1,1,83
1,1,84
1,1,85
1,1,86
1,1,87
1,1,88
1,1,89
1,1,90
1,1,91
1,1,92
1,1,93
1,1,94
1,1,95
1,1,96
1,1,97
1,1,98
1,1,99
1,1,100
1,1,101
1,1,102
1,1,103
1,1,104
1,1,105
1,1,106
1,1,107
1,1,108
1,1,109
1,1,110
1,1,111
1,1,112
1,1,113
1,1,114
1,1,115
1,1,116
1,1,117
1,1,118
1,1,119
1,1,120
1,1,121
1,1,122
1,1,123
1,1,124
1,1,125
1,1,126
1,1,127
1,1,128
1,1,129
1,1,130
1,1,131
1,1,132
1,1,133
1,1,134
1,1,135
1,1,136
1,1,137
1,1,138
1,1,139
1,1,140
1,1,141
1,1,142
1,1,143
1,1,144
1,1,145
1,1,146
1,1,147
1,1,148
1,1,149
1,1,150
1,1,151
1,1,152
1,1,153
1,1,154
1,1,155
1,1,156
1,1,157
1,1,158
1,1,159
1,1,160
1,1,161
1,1,162
1,1,163
1,1,164
1,1,165
1,1,166
1,1,167
1,1,168
1,1,169
1,1,170
1,1,171
1,1,172
1,1,173
1,1,174
1,1,175
1,1,176
1,1,177
1,1,178
1,1,179
1,1,180
1,1,181
1,1,182
1,1,183
1,1,184
1,1,185
1,1,186
1,1,187
1,1,188
1,1,189
1,1,190
1,1,191
1,1,192
1,1,193
1,1,194
1,1,195
1,1,196
1,1,197
1,1,198
1,1,199
1,1,200
1,1,201
1,1,202
1,1,203
1,1,204
1,1,205
1,1,206
1,1,207
1,1,208
1,1,209
1,1,210
1,1,211
1,1,212
1,1,213
1,1,214
1,1,215
1,1,216
1,1,217
1,1,218
1,1,219
1,1,220
1,1,221
1,1,222
1,1,223
1,1,224
1,1,225
1,1,226
1,1,227
1,1,228
1,1,229
1,1,230
1,1,231
1,1,232
1,1,233
1,1,234
1,1,235
1,1,236
1,1,237
1,1,238
1,1,239
1,1,240
1,1,241
1,1,242
1,1,243
1,1,244
1,1,245
1,1,246
1,1,247
1,1,248
1,1,249
1,1,250
1,1,251
1,1,252
1,1,253
1,1,254
1,1,255
1,1,256
1,1,257
1,1,258
1,1,259
1,1,260
1,1,261
1,1,262
1,1,263
1,1,264
1,1,265
1,1,266
1,1,267
1,1,268
1,1,269
1,1,270
1,1,271
1,1,272
1,1,273
1,1,274
1,1,275
1,1,276
1,1,277
1,1,278
1,1,279
1,1,280
1,1,281
1,1,282
1,1,283
1,1,284
1,1,285
1,1,286
1,1,287
1,1,288
1,1,289
1,1,290
1,1,291
1,1,292
1,1,293
1,1,294
1,1,295
1,1,296
1,1,297
1,1,298
1,1,299
1,1,300
1,1,301
1,1,302
1,1,303
1,1,304
1,1,305
1,1,306
1,1,307
1,1,308
1,1,309
1,1,310
1,1,311
1,1,312
1,1,313
1,1,314
1,1,315
1,1,316
1,1,317
1,1,318
1,1,319
1,1,320
1,1,321
1,1,322
1,1,323
1,1,324
1,1,325
1,1,326
1,1,327
1,1,328
1,1,329
1,1,330
1,1,331
1,1,332
1,1,333
1,1,334
1,1,335
1,1,336
1,1,337
1,1,338
1,1,339
1,1,340
1,1,341
1,1,342
1,1,343
1,1,344
1,1,345
1,1,346
1,1,347
1,1,348
1,1,349
1,1,350
1,1,351
1,1,352
1,1,353
1,1,354
1,1,355
1,1,356
1,1,357
1,1,358
1,1,359
1,1,360
1,1,361
1,1,362
1,1,363
1,1,364
1,1,365
1,1,366
1,1,367
1,1,368
1,1,369
1,1,370
1,1,371
1,1,372
1,1,373
1,1,374
1,1,375
1,1,376
1,1,377
1,1,378
1,1,379
1,1,380
1,1,381
1,1,382
1,1,383
1,1,384
1,1,385
1,1,386
1,1,387
1,1,388
1,1,389
1,1,390
1,1,391
1,1,392
1,1,393
1,1,394
1,1,395
1,1,396
1,1,397
1,1,398
1,1,399
1,1,400
1,1,401
1,1,402
1,1,403
1,1,404
1,1,405
1,1,406
1,1,407
1,1,408
1,1,409
1,1,410
1,1,411
1,1,412
1,1,413
1,1,414
1,1,415
1,1,416
1,1,417
1,1,418
1,1,419
1,1,420
1,1,421
1,1,422
1,1,423
1,1,424
1,1,425
1,1,426
1,1,427
1,1,428
1,1,429
1,1,430
1,1,431
1,1,432
1,1,433
1,1,434
1,1,435
1,1,436
1,1,437
1,1,438
1,1,439
1,1,440
1,1,441
1,1,442
1,1,443
1,1,444
1,1,445
1,1,446
1,1,447
1,1,448
1,1,449
1,1,450
1,1,451
1,1,452
1,1,453
1,1,454
1,1,455
1,1,456
1,1,457
1,1,458
1,1,459
1,1,460
1,1,461
1,1,462
1,1,463
1,1,464
1,1,465
1,1,466
1,1,467
1,1,468
1,1,469
1,1,470
1,1,471
1,1,472
1,1,473
1,1,474
1,1,475
1,1,476
1,1,477
1,1,478
1,1,479
1,1,480
1,1,481
1,1,482
1,1,483
1,1,484
1,1,485
1,1,486
1,1,487
1,1,488
1,1,489
1,1,490
1,1,491
1,1,492
1,1,493
1,1,494
1,1,495
1,1,496
1,1,497
1,1,498
1,1,499
1,1,500
1,1,501
1,1,502
1,1,503
1,1,504
1,1,505
1,1,506
1,1,507
1,1,508
1,1,509
1,1,510
1,1,511
1,1,512
1,1,513
1,1,514
1,1,515
1,1,516
1,1,517
1,1,518
1,1,519
1,1,520
1,1,521
1,1,522
1,1,523
1,1,524
1,1,525
1,1,526
1,1,527
1,1,528
1,1,529
1,1,530
1,1,531
1,1,532
1,1,533
1,1,534
1,1,535
1,1,536
1,1,537
1,1,538
1,1,539
1,1,540
1,1,541
1,1,542
1,1,543
1,1,544
1,1,545
1,1,546
1,1,547
1,1,548
1,1,549
1,1,550
1,1,551
1,1,552
1,1,553
1,1,554
1,1,555
1,1,556
1,1,557
1,1,558
1,1,559
1,1,560
1,1,561
1,1,562
1,1,563
1,1,564
1,1,565
1,1,566
1,1,567
1,1,568
1,1,569
1,1,570
1,1,571
1,1,572
1,1,573
1,1,574
1,1,575
1,1,576
1,1,577
1,1,578
1,1,579
1,1,580
1,1,581
1,1,582
1,1,583
1,1,584
1,1,585
1,1,586
1,1,587
1,1,588
1,1,589
1,1,590
1,1,591
1,1,592
1,1,593
1,1,594
1,1,595
1,1,596
1,1,597
1,1,598
1,1,599
1,1,600
1,1,601
1,1,602
1,1,603
1,1,604
1,1,605
1,1,606
1,1,607
1,1,608
1,1,609
1,1,610
1,1,611
1,1,612
1,1,613
1,1,614
1,1,615
1,1,616
1,1,617
1,1,618
1,1,619
1,1,620
1,1,621
1,1,622
1,1,623
1,1,624
1,1,625
1,1,626
1,1,627
1,1,628
1,1,629
1,1,630
1,1,631
1,1,632
1,1,633
1,1,634
1,1,635
1,1,636
1,1,637
1,1,638
1,1,639
1,1,640
1,1,641
1,1,642
1,1,643
1,1,644
1,1,645
1,1,646
1,1,647
1,1,648
1,1,649
1,1,650
1,1,651
1,1,652
1,1,653
1,1,654
1,1,655
1,1,656
1,1,657
1,1,658
1,1,659
1,1,660
1,1,661
1,1,662
1,1,663
1,1,664
1,1,665
1,1,666
1,1,667
1,1,668
1,1,669
1,1,670
1,1,671
1,1,672
1,1,673
1,1,674
1,1,675
1,1,676
1,1,677
1,1,678
1,1,679
1,1,680
1,1,681
1,1,682
1,1,683
1,1,684
1,1,685
1,1,686
1,1,687
1,1,688
1,1,689
1,1,690
1,1,691
1,1,692
1,1,693
1,1,694
1,1,695
1,1,696
1,1,697
1,1,698
1,1,699
1,1,700
1,1,701
1,1,702
1,1,703
1,1,704
1,1,705
1,1,706
1,1,707
1,1,708
1,1,709
1,1,710
1,1,711
1,1,712
1,1,713
1,1,714
1,1,715
1,1,716
1,1,717
1,1,718
1,1,719
1,1,720
1,1,721
1,1,722
1,1,723
1,1,724
1,1,725
1,1,726
1,1,727
1,1,728
1,1,729
1,1,730
1,1,731
1,1,732
1,1,733
1,1,734
1,1,735
1,1,736
1,1,737
1,1,738
1,1,739
1,1,740
1,1,741
1,1,742
1,1,743
1,1,744
1,1,745
1,1,746
1,1,747
1,1,748
1,1,749
1,1,750
1,1,751
1,1,752
1,1,753
1,1,754
1,1,755
1,1,756
1,1,757
1,1,758
1,1,759
1,1,760
1,1,761
1,1,762
1,1,763
1,1,764
1,1,765
1,1,766
1,1,767
1,1,768
1,1,769
1,1,770
1,1,771
1,1,772
1,1,773
1,1,774
1,1,775
1,1,776
1,1,777
1,1,778
1,1,779
1,1,780
1,1,781
1,1,782
1,1,783
1,1,784
1,1,785
1,1,786
1,1,787
1,1,788
1,1,789
1,1,790
1,1,791
1,1,792
1,1,793
1,1,794
1,1,795
1,1,796
1,1,797
1,1,798
1,1,799
1,1,800
1,1,801
1,1,802
1,1,803
1,1,804
1,1,805
1,1,806
1,1,807
1,1,808
1,1,809
1,1,810
1,1,811
1,1,812
1,1,813
1,1,814
1,1,815
1,1,816
1,1,817
1,1,818
1,1,819
1,1,820
1,1,821
1,1,822
1,1,823
1,1,824
1,1,825
1,1,826
1,1,827
1,1,828
1,1,829
1,1,830
1,1,831
1,1,832
1,1,833
1,1,834
1,1,835
1,1,836
1,1,837
1,1,838
1,1,839
1,1,840
1,1,841
1,1,842
1,1,843
1,1,844
1,1,845
1,1,846
1,1,847
1,1,848
1,1,849
1,1,850
1,1,851
1,1,852
1,1,853
1,1,854
1,1,855
1,1,856
1,1,857
1,1,858
1,1,859
1,1,860
1,1,861
1,1,862
1,1,863
1,1,864
1,1,865
1,1,866
1,1,867
1,1,868
1,1,869
1,1,870
1,1,871
1,1,872
1,1,873
1,1,874
1,1,875
1,1,876
1,1,877
1,1,878
1,1,879
1,1,880
1,1,881
1,1,882
1,1,883
1,1,884
1,1,885
1,1,886
1,1,887
1,1,888
1,1,889
1,1,890
1,1,891
1,1,892
1,1,893
1,1,894
1,1,895
1,1,896
1,1,897
1,1,898
1,1,899
1,1,900
1,1,901
1,1,902
1,1,903
1,1,904
1,1,905
1,1,906
1,1,907
1,1,908
1,1,909
1,1,910
1,1,911
1,1,912
1,1,913
1,1,914
1,1,915
1,1,916
1,1,917
1,1,918
1,1,919
1,1,920
1,1,921
1,1,922
1,1,923
1,1,924
1,1,925
1,1,926
1,1,927
1,1,928
1,1,929
1,1,930
1,1,931
1,1,932
1,1,933
1,1,934
1,1,935
1,1,936
1,1,937
1,1,938
1,1,939
1,1,940
1,1,941
1,1,942
1,1,943
1,1,944
1,1,945
1,1,946
1,1,947
1,1,948
1,1,949
1,1,950
0.9997002997003,0.99781368881194,951
0.999500998003992,0.99659146632955,952
0.999102691924227,0.994350103846916,953
0.666733067729084,0.728320555360146,954
0.666567164179104,0.727578414586222,955
0.66779324055666,0.721244922826467,956
0.666633565044687,0.721423311656364,957
0.668055555555556,0.723785606600765,958
0.66808721506442,0.722780001967076,959
0.666633663366337,0.724240995130175,960
0.668743818001978,0.721587781159547,961
0.669367588932806,0.721565586668018,962
0.666929911154985,0.723623593852489,963
0.670414201183432,0.722376689144007,964
0.667093596059113,0.722305050164563,965
0.671259842519685,0.722167136192997,966
0.667256637168142,0.721165228219969,967
0.667288801571709,0.719913907299049,968
0.667419038272816,0.720068491965566,969
0.672843137254902,0.721299322980122,970
0.673555337904016,0.721947047110712,971
0.667906066536204,0.717932691786168,972
0.673900293255132,0.72032589136075,973
0.67421875,0.720123828851386,974
0.66809756097561,0.715870909964303,975
0.674853801169591,0.719543862964242,976
0.668159688412853,0.715660260264266,977
0.668190661478599,0.71524123890654,978
0.668318756073858,0.714649131370083,979
0.668446601941748,0.713982106773743,980
0.676527643064985,0.718559952826696,981
0.668507751937985,0.712631838667829,982
0.677153920619555,0.717970331491152,983
0.668471953578337,0.712330596684847,984
0.677874396135266,0.718171558029701,985
0.668436293436293,0.711650486001587,986
0.668466730954677,0.710793195496095,987
0.668400770712909,0.710497816474246,988
0.679210779595765,0.718381711294573,989
0.679519230769231,0.718123365446741,990
0.679827089337176,0.717702498164838,991
0.668905950095969,0.707910894239602,992
0.680441035474593,0.717378713168579,993
0.668869731800766,0.706183536616482,994
0.681052631578947,0.665849581043057,995
0.681357552581262,0.698391642739031,996
0.681661891117479,0.712276354861382,997
0.681965648854962,0.714063636677005,998
0.682268827454719,0.716196170006971,999
0.682571428571429,0.716273633379351,1000
0.682873453853473,0.716148633253767,1001
0.683174904942966,0.715779259554163,1002
0.683475783475784,0.715858764087552,1003
0.683776091081594,0.715541715262974,1004
0.684075829383886,0.715424165003101,1005
0.684375,0.715263461760401,1006
0.684673604541154,0.715173283249091,1007
0.684971644612476,0.714782429381595,1008
0.685269121813031,0.714573954319056,1009
0.685566037735849,0.714465423545341,1010
0.685862393967955,0.714192754040761,1011
0.686158192090396,0.713835992994137,1012
0.686453433678269,0.713717357784492,1013
0.686748120300752,0.713600588946339,1014
0.687042253521127,0.713500171457478,1015
0.68733583489681,0.713343077634726,1016
0.687628865979381,0.713187949387434,1017
0.687921348314607,0.712921906160179,1018
0.68821328344247,0.712746968289333,1019
0.688504672897196,0.712544567151919,1020
0.688795518207283,0.712594376203315,1021
0.689085820895522,0.712406831955422,1022
0.689375582479031,0.71217830760185,1023
0.689664804469274,0.712027283455761,1024
0.689953488372093,0.711783830621648,1025
0.690241635687732,0.71155340632512,1026
0.690529247910864,0.711419558435738,1027
0.690816326530612,0.711287348676061,1028
0.691102873030584,0.711241564734616,1029
0.691388888888889,0.711246999644102,1030
0.691674375578168,0.711260563893769,1031
0.691959334565619,0.71103436576216,1032
0.692243767313019,0.710811886294081,1033
0.692527675276753,0.71073104062026,1034
0.692811059907834,0.710561968702005,1035
0.693093922651934,0.710489743153821,1036
0.693376264949402,0.710235889346085,1037
0.693658088235294,0.710161354385506,1038
0.693939393939394,0.710092548214014,1039
0.694220183486238,0.71010745316756,1040
0.694500458295142,0.709945173414384,1041
0.69478021978022,0.709744702084803,1042
0.695059469350412,0.709506233034235,1043
0.695338208409506,0.70931219208914,1044
0.695616438356164,0.709330506301312,1045
0.695894160583942,0.709269701507167,1046
0.696171376481313,0.709165178915096,1047
0.696448087431694,0.708855068496392,1048
0.696724294813467,0.70871494110388,1049
0.697,0.708740756649984,1050
0.697275204359673,0.708725154208689,1051
0.697549909255898,0.708467524087835,1052
0.697824116047144,0.708333681362311,1053
0.698097826086956,0.708241439937435,1054
0.698371040723982,0.708150336994428,1055
0.698643761301989,0.708020194613733,1056
0.698915989159892,0.707931406149281,1057
0.699187725631769,0.707728323631514,1058
0.699458972046889,0.707878575800243,1059
0.69972972972973,0.707947166267748,1060
0.7,0.707784137133781,1061
0.700269784172662,0.707622951973179,1062
0.700539083557951,0.707466129130403,1063
0.7008078994614,0.707348405913366,1064
0.701076233183856,0.707156510352567,1065
0.701344086021505,0.707232686256055,1066
0.701611459265891,0.707004930689887,1067
0.701878354203936,0.706889739285005,1068
0.702144772117962,0.706818894205358,1069
0.702410714285714,0.706675564462891,1070
0.702676181980375,0.706534453685033,1071
0.702941176470588,0.706507400159197,1072
0.703205699020481,0.706476392467519,1073
0.70346975088968,0.706262807138524,1074
0.703733333333333,0.706234010437661,1075
0.703996447602131,0.706024222022132,1076
0.704259094942325,0.705997581970066,1077
0.704521276595745,0.705900815033274,1078
